time,clock,limiter,throttle,voltage high,voltage low,current,charge
0.29182004928588867,DATA:102.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
2.8526735305786133,DATA:105.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
3.866976261138916,DATA:106.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
4.854238986968994,DATA:107.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
5.847878694534302,DATA:108.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
6.851340055465698,DATA:109.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
7.851706266403198,DATA:110.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
8.855642557144165,DATA:111.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
9.851387023925781,DATA:112.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
10.852602005004883,DATA:113.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
11.848335027694702,DATA:114.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
12.945364236831665,DATA:115.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
13.951607465744019,DATA:116.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
14.959867238998413,DATA:117.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
15.952568769454956,DATA:118.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
16.951792001724243,DATA:119.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
17.9517662525177,DATA:120.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
18.952345371246338,DATA:121.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
19.952232360839844,DATA:122.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
20.946775197982788,DATA:123.00, 4.99, 0.92, 0.00, 0.00, 0.03, 36.00
21.951829433441162,DATA:124.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
22.951782703399658,DATA:125.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
23.949194192886353,DATA:126.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
24.95800518989563,DATA:127.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
25.95428490638733,DATA:128.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
26.961017370224,DATA:129.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
28.053229808807373,DATA:130.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
29.047118663787842,DATA:131.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
30.051822185516357,DATA:132.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
31.059184551239014,DATA:133.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
32.041138648986816,DATA:134.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
33.05215406417847,DATA:135.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
34.06780958175659,DATA:136.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
35.05168294906616,DATA:137.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
36.04254364967346,DATA:138.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
37.05136847496033,DATA:139.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
38.06047201156616,DATA:140.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
39.15246605873108,DATA:141.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
40.05624580383301,DATA:142.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
41.14854454994202,DATA:143.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
42.16341495513916,DATA:144.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
43.152236461639404,DATA:145.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
44.15951061248779,DATA:146.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
45.152114152908325,DATA:147.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
46.150598764419556,DATA:148.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
47.15668082237244,DATA:149.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
48.15894627571106,DATA:150.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
49.15170502662659,DATA:151.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
50.15215992927551,DATA:152.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
51.14793610572815,DATA:153.00, 4.99, 0.92, 0.00, 0.00, 0.06, 36.00
52.15472054481506,DATA:154.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
53.15411925315857,DATA:155.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
54.16461396217346,DATA:156.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
55.25126004219055,DATA:157.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
56.25703740119934,DATA:158.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
57.25196313858032,DATA:159.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
58.26680588722229,DATA:160.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
59.24356937408447,DATA:161.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
60.25327658653259,DATA:162.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
61.24293327331543,DATA:163.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
62.25968408584595,DATA:164.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
63.25215530395508,DATA:165.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
64.25196266174316,DATA:166.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
65.25316381454468,DATA:167.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
66.3476345539093,DATA:168.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
67.35209131240845,DATA:169.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
68.35208296775818,DATA:170.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
69.35186982154846,DATA:171.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
70.35156965255737,DATA:172.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
71.36026096343994,DATA:173.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
72.34115815162659,DATA:174.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
73.35699224472046,DATA:175.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
74.36461639404297,DATA:176.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
75.34482550621033,DATA:177.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
76.35165071487427,DATA:178.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
77.35674262046814,DATA:179.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
78.35540199279785,DATA:180.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
79.44999766349792,DATA:181.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
80.45144557952881,DATA:182.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
81.451988697052,DATA:183.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
82.45214223861694,DATA:184.00, 4.99, 0.92, 0.00, 0.00, 0.06, 36.00
83.45226573944092,DATA:185.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
84.45188236236572,DATA:186.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
85.46088218688965,DATA:187.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
86.45595264434814,DATA:188.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
87.45200967788696,DATA:189.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
88.46053647994995,DATA:190.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
89.45481204986572,DATA:191.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
90.54389691352844,DATA:192.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
91.55179405212402,DATA:193.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
92.560391664505,DATA:194.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
93.54652643203735,DATA:195.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
94.55749726295471,DATA:197.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
95.5514509677887,DATA:198.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
96.56196141242981,DATA:199.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
97.54500198364258,DATA:200.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
98.5524582862854,DATA:201.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
99.55221772193909,DATA:202.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
100.5533754825592,DATA:203.00, 4.99, 0.92, 0.00, 0.00, 0.03, 36.00
101.64520692825317,DATA:204.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
102.55465698242188,DATA:205.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
103.55927920341492,DATA:206.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
104.64939904212952,DATA:207.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
105.64088034629822,DATA:208.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
106.63843989372253,DATA:209.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
107.65178656578064,DATA:210.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
108.65204071998596,DATA:211.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
109.65330362319946,DATA:212.00, 5.00, 0.92, 0.00, 0.00, 0.04, 36.00
110.6522376537323,DATA:213.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
111.6480700969696,DATA:214.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
112.65184760093689,DATA:215.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
113.6529335975647,DATA:216.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
114.6550772190094,DATA:217.00, 4.99, 0.92, 0.00, 0.00, 0.03, 36.00
115.65131998062134,DATA:218.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
116.65364909172058,DATA:219.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
117.75177907943726,DATA:220.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
118.75210404396057,DATA:221.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
119.75773882865906,DATA:222.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
120.75708198547363,DATA:223.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
121.7637050151825,DATA:224.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
122.75193095207214,DATA:225.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
123.74441361427307,DATA:226.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
124.75841116905212,DATA:227.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
125.75217533111572,DATA:228.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
126.7516655921936,DATA:229.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
127.75151085853577,DATA:230.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
128.74803280830383,DATA:231.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
129.7526135444641,DATA:232.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
130.85220384597778,DATA:233.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
131.76340317726135,DATA:234.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
132.8517210483551,DATA:235.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
133.85130333900452,DATA:236.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
134.8457269668579,DATA:237.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
135.85211563110352,DATA:238.00, 4.99, 0.92, 0.00, 0.00, 0.03, 36.00
136.85142874717712,DATA:239.00, 4.99, 0.92, 0.00, 0.00, 0.03, 36.00
137.85150837898254,DATA:240.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
138.85503005981445,DATA:241.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
139.84797644615173,DATA:242.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
140.85185861587524,DATA:243.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
141.8514165878296,DATA:244.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
142.85193943977356,DATA:245.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
143.85160422325134,DATA:246.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
144.85805821418762,DATA:247.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
145.94606065750122,DATA:248.00, 5.00, 0.92, 0.00, 0.00, 0.04, 36.00
146.94329833984375,DATA:249.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
147.95252060890198,DATA:250.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
148.9551134109497,DATA:251.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
149.95092725753784,DATA:252.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
150.9659149646759,DATA:253.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
151.93434929847717,DATA:254.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
152.95211029052734,DATA:255.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
153.9521553516388,DATA:256.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
154.95178270339966,DATA:257.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
155.9524438381195,DATA:258.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
156.95158290863037,DATA:259.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
157.95850253105164,DATA:260.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
159.05182194709778,DATA:261.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
159.9643259048462,DATA:262.00, 4.99, 0.92, 0.00, 0.00, 0.06, 36.00
161.05365443229675,DATA:263.00, 4.99, 0.92, 0.00, 0.00, 0.06, 36.00
162.0530126094818,DATA:264.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
163.06857538223267,DATA:265.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
164.05235242843628,DATA:266.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
165.04800009727478,DATA:267.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
166.0518753528595,DATA:268.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
167.05164122581482,DATA:269.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
168.0458824634552,DATA:270.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
169.05167412757874,DATA:271.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
170.0534634590149,DATA:272.00, 4.99, 0.91, 0.00, 0.00, 0.04, 36.00
171.04706025123596,DATA:273.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
172.0590751171112,DATA:274.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
173.05175113677979,DATA:275.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
174.1468300819397,DATA:276.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
175.1515290737152,DATA:277.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
176.1523151397705,DATA:278.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
177.15295457839966,DATA:279.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
178.14228320121765,DATA:280.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
179.14793729782104,DATA:281.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
180.1529359817505,DATA:282.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
181.1435353755951,DATA:283.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
182.15287256240845,DATA:284.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
183.15711545944214,DATA:285.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
184.1515896320343,DATA:286.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
185.15877175331116,DATA:287.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
186.24685382843018,DATA:288.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
187.16358757019043,DATA:289.00, 4.99, 0.92, 0.00, 0.00, 0.04, 36.00
188.25000143051147,DATA:290.00, 4.99, 0.91, 0.00, 0.00, 0.05, 36.00
189.25854539871216,DATA:291.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
190.24695897102356,DATA:292.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
191.26565647125244,DATA:293.00, 4.99, 0.92, 0.00, 0.00, 0.06, 36.00
192.22235655784607,DATA:294.00, 4.99, 0.92, 0.00, 0.00, 0.05, 36.00
